id_code,country
24,Bosnien & Herzegovina
37,Kroatien
215,Serbien
155,Slowenien
178,Ungarn
19,Belgien
99,Luxemburg
148,Schweiz
127,Österreich
172,Tschechien
135,Polen
50,Frankreich
122,Niederlande
140,Rumänien
40,Deutschland
136,Portugal
157,Spanien
75,Italien
56,Griechenland
74,Israel
28,Bulgarien
177,Ukraine
174,Türkei
141,Russland
39,Dänemark
147,Schweden
192,Nordirland
72,Irland
189,England
190,Schottland
73,Island
49,Finnland
125,Norwegen
3,Albanien
188,Zypern
47,Estland
18,Belarus
154,Slowakei
92,Lettland
98,Litauen
191,Wales
53,Georgien
208,Färöer
106,Malta
10,Armenien
13,Aserbaidschan
112,Moldawien
81,Kasachstan
100,Mazedonien
244,Kosovo
1,Montenegro
266,Gibraltar
97,Liechtenstein
144,San Marino
5,Andorra
